0, 0.200, 7.992
1, 0.201, 8.000
2, 0.200, 8.007
3, 0.200, 8.554
4, 0.200, 9.183
5, 0.200, 8.023
6, 0.200, 8.021
7, 0.200, 7.996
8, 0.200, 7.995
9, 0.200, 9.420
10, 0.200, 7.994
11, 0.200, 7.974
12, 0.200, 7.998
13, 0.200, 9.990
14, 0.200, 10.321
15, 0.201, 8.761
16, 0.200, 8.958
17, 0.200, 8.035
18, 0.200, 9.973
19, 0.200, 8.043
20, 0.200, 7.980
21, 0.200, 7.974
22, 0.200, 8.014
23, 0.200, 9.977
24, 0.200, 8.692
25, 0.200, 8.015
26, 0.200, 9.177
27, 0.200, 7.977
28, 0.200, 7.986
29, 0.200, 10.321
30, 0.200, 9.686
31, 0.200, 8.498
32, 0.200, 9.189
33, 0.200, 7.982
34, 0.200, 8.947
35, 0.200, 7.988
36, 0.200, 8.004
37, 0.200, 10.278
38, 0.200, 8.005
39, 0.200, 9.456
40, 0.200, 7.994
41, 0.199, 9.696
42, 0.199, 7.995
43, 0.200, 8.344
44, 0.200, 7.990
45, 0.200, 8.004
