0.0, 0.0, 0.0, 0.0, 27.465, 0.333, 25.0, 0.333, 0.0, 0.0
0.0, 0.1, 10.0, 0.01, 19.001, 0.326, 25.0, 0.326, 0.067, 0.007
0.0, 0.1, 10.0, 0.25, 18.425, 0.326, 25.0, 0.326, 0.069, 0.007
0.0, 0.1, 10.0, 0.5, 17.792, 0.325, 25.0, 0.325, 0.071, 0.007
0.0, 0.1, 10.0, 0.75, 17.062, 0.325, 25.0, 0.325, 0.074, 0.007
0.0, 0.1, 10.0, 0.999, 16.337, 0.323, 25.0, 0.323, 0.077, 0.008
0.0, 0.1, 20.0, 0.01, 13.863, 0.326, 25.0, 0.326, 0.086, 0.009
0.0, 0.1, 20.0, 0.25, 13.321, 0.325, 25.0, 0.325, 0.088, 0.009
0.0, 0.1, 20.0, 0.5, 12.654, 0.322, 25.0, 0.322, 0.09, 0.009
0.0, 0.1, 20.0, 0.75, 11.953, 0.32, 25.0, 0.32, 0.092, 0.009
0.0, 0.1, 20.0, 0.999, 11.283, 0.318, 25.0, 0.318, 0.093, 0.009
0.0, 0.1, 30.0, 0.01, 10.973, 0.324, 25.0, 0.324, 0.095, 0.01
0.0, 0.1, 30.0, 0.25, 10.456, 0.322, 25.0, 0.322, 0.096, 0.01
0.0, 0.1, 30.0, 0.5, 9.842, 0.319, 25.0, 0.319, 0.098, 0.01
0.0, 0.1, 30.0, 0.75, 9.223, 0.317, 25.0, 0.317, 0.1, 0.01
0.0, 0.1, 30.0, 0.999, 8.662, 0.315, 25.0, 0.315, 0.101, 0.01
0.0, 0.1, 40.0, 0.01, 9.164, 0.323, 25.0, 0.323, 0.1, 0.01
0.0, 0.1, 40.0, 0.25, 8.68, 0.32, 25.0, 0.32, 0.101, 0.01
0.0, 0.1, 40.0, 0.5, 8.096, 0.317, 25.0, 0.317, 0.103, 0.01
0.0, 0.1, 40.0, 0.75, 7.569, 0.315, 25.0, 0.315, 0.104, 0.01
0.0, 0.1, 40.0, 0.999, 7.147, 0.313, 25.0, 0.313, 0.104, 0.01
0.0, 0.25, 10.0, 0.01, 13.758, 0.324, 25.0, 0.324, 0.087, 0.009
0.0, 0.25, 10.0, 0.25, 12.357, 0.32, 25.0, 0.32, 0.091, 0.009
