0 ,  ,  ,  , 27.4653072167 , 0.333333333333 , 7.91144588555
0 , 0.1 , 10 , 0 , 17.3469658023 , 39.968 , 7.91144588555 , 25
0 , 0.1 , 20 , 0 , 11.6625326055 , 40.896 , 6.38977182691 , 25
0 , 0.1 , 30 , 0 , 8.79157484919 , 41.72 , 5.44514462618 , 25
0 , 0.1 , 40 , 0 , 7.09773985799 , 42.088 , 4.92100152408 , 25
0 , 0.25 , 10 , 0 , 12.1251779836 , 39.792 , 6.66368786784 , 25
0 , 0.25 , 20 , 0 , 8.28226048426 , 41.124 , 5.60005571401 , 25
0 , 0.25 , 30 , 0 , 7.09108082403 , 41.68 , 4.98252947809 , 25
0 , 0.25 , 40 , 0 , 6.5843212052 , 42.096 , 5.09654628155 , 25
0 , 0.5 , 10 , 0 , 6.90787560759 , 40.144 , 5.17022862164 , 25
0 , 0.5 , 20 , 0 , 3.59271988638 , 40.928 , 3.61369838254 , 25
0 , 0.5 , 30 , 0 , 2.94095325227 , 41.016 , 3.33102746912 , 25
0 , 0.5 , 40 , 0 , 2.81509453208 , 40.952 , 3.25295189021 , 25
0 , 0.75 , 10 , 0 , 5.17168640366 , 39.304 , 4.6367643891 , 25
0 , 0.75 , 20 , 0 , 3.7593249595 , 40.176 , 3.93560973675 , 25
0 , 0.75 , 30 , 0 , 3.30841953101 , 40.196 , 3.56561130804 , 25
0 , 0.75 , 40 , 0 , 3.09278462328 , 40.568 , 3.36056185779 , 25
0 , 1 , 10 , 0 , 4.39636203497 , 37.416 , 4.45902949082 , 25
0 , 1 , 20 , 0 , 3.52562485552 , 37.48 , 3.72902131933 , 25
0 , 1 , 30 , 0 , 3.18567020698 , 37.276 , 3.42050054817 , 25
0 , 1 , 40 , 0 , 2.98429794714 , 37.268 , 3.25579114809 , 25
1 ,  ,  ,  , 27.4653072167 , 0.333333333333 , 6.741446729
1 , 0.1 , 10 , 0 , 14.3769247027 , 55.336 , 6.741446729 , 25
1 , 0.1 , 20 , 0 , 7.51962955961 , 59.864 , 4.884004914 , 25
1 , 0.1 , 30 , 0 , 4.96097620315 , 61.452 , 3.87655723549 , 25
1 , 0.1 , 40 , 0 , 3.59233925284 , 62.228 , 3.34365309205 , 25
1 , 0.25 , 10 , 0 , 10.8541756458 , 59.824 , 5.94920364419 , 25
1 , 0.25 , 20 , 0 , 4.40148438017 , 62.668 , 3.59134737947 , 25
1 , 0.25 , 30 , 0 , 2.70832397404 , 62.796 , 2.95675227234 , 25
1 , 0.25 , 40 , 0 , 2.29171885611 , 62.852 , 2.73826514421 , 25
1 , 0.5 , 10 , 0 , 11.4022778269 , 62.216 , 5.73980348096 , 25
1 , 0.5 , 20 , 0 , 6.50964764471 , 64.576 , 4.43849343809 , 25
1 , 0.5 , 30 , 0 , 5.49115866957 , 65.256 , 3.96263346778 , 25
1 , 0.5 , 40 , 0 , 4.91725660502 , 65.276 , 3.80996377936 , 25
1 , 0.75 , 10 , 0 , 12.9735827023 , 61.628 , 6.53525944397 , 25
1 , 0.75 , 20 , 0 , 8.36311052905 , 64.852 , 5.4341601007 , 25
