8,53.03774
13,64.400366155
24,74.73297
43,85.8980661538
16,94.12034
1,97.94922
15,97.98192
41,98.3254
28,98.39295
6,98.63966
31,98.70067
45,99.63064
37,99.99343
3,101.38874
29,101.5833
27,102.043846509
30,102.08344
14,102.83279
20,103.21201
4,103.28238
32,103.36507
39,103.66673
11,104.01275
38,104.332452053
33,104.64979
42,105.34816
25,105.462565
0,105.967135983
5,106.57008
40,106.76343
34,106.84481
9,107.50346
21,107.89341
18,108.01208
7,108.81955
2,109.29171
23,111.81852
35,112.49152
44,115.05364
26,116.357854766
22,116.65632
12,117.57745
17,118.80896
19,138.83024
36,145.00596
10,202.477558906
