0 , 0.462 , 0.269 , 0.269 , 26
1 , 0.235 , 0.382 , 0.382 , 34
2 , 0.667 , 0.233 , 0.100 , 30
3 , 0.364 , 0.273 , 0.364 , 22
4 , 0.526 , 0.158 , 0.316 , 19
5 , 0.469 , 0.344 , 0.188 , 32
6 , 0.500 , 0.278 , 0.222 , 54
7 , 0.667 , 0.190 , 0.143 , 42
8 , 0.514 , 0.270 , 0.216 , 37
9 , 0.667 , 0.167 , 0.167 , 18
10 , 0.507 , 0.301 , 0.192 , 73
11 , 0.455 , 0.242 , 0.303 , 33
12 , 0.593 , 0.222 , 0.185 , 54
13 , 0.000 , 0.188 , 0.812 , 16
14 , 0.533 , 0.333 , 0.133 , 15
15 , 0.238 , 0.476 , 0.286 , 21
16 , 0.600 , 0.300 , 0.100 , 20
17 , 0.185 , 0.296 , 0.519 , 27
18 , 0.625 , 0.250 , 0.125 , 16
19 , 0.386 , 0.349 , 0.265 , 83
20 , 0.321 , 0.429 , 0.250 , 28
21 , 0.481 , 0.444 , 0.074 , 27
22 , 0.556 , 0.222 , 0.222 , 36
23 , 0.312 , 0.688 , 0.000 , 16
24 , 0.476 , 0.524 , 0.000 , 21
25 , 0.411 , 0.299 , 0.290 , 107
26 , 0.316 , 0.368 , 0.316 , 19
27 , 0.393 , 0.286 , 0.321 , 28
28 , 0.444 , 0.407 , 0.148 , 27
29 , 0.467 , 0.133 , 0.400 , 15
30 , 0.529 , 0.294 , 0.176 , 17
31 , 0.636 , 0.182 , 0.182 , 22
32 , 0.368 , 0.368 , 0.263 , 19
33 , 0.500 , 0.312 , 0.188 , 32
34 , 0.550 , 0.350 , 0.100 , 20
35 , 0.273 , 0.333 , 0.394 , 33
36 , 0.450 , 0.250 , 0.300 , 40
37 , 0.600 , 0.200 , 0.200 , 15
38 , 0.553 , 0.158 , 0.289 , 38
39 , 0.611 , 0.222 , 0.167 , 18
40 , 0.550 , 0.175 , 0.275 , 40
41 , 0.471 , 0.176 , 0.353 , 17
42 , 0.647 , 0.294 , 0.059 , 34
43 , 0.478 , 0.304 , 0.217 , 23
44 , 0.452 , 0.258 , 0.290 , 31
45 , 0.520 , 0.120 , 0.360 , 25
