0 , 0.440 , 0.280 , 0.280 , 25
1 , 0.280 , 0.360 , 0.360 , 25
2 , 0.720 , 0.240 , 0.040 , 25
3 , 0.364 , 0.273 , 0.364 , 22
4 , 0.526 , 0.158 , 0.316 , 19
5 , 0.440 , 0.360 , 0.200 , 25
6 , 0.640 , 0.160 , 0.200 , 25
7 , 0.760 , 0.160 , 0.080 , 25
8 , 0.520 , 0.200 , 0.280 , 25
9 , 0.667 , 0.167 , 0.167 , 18
10 , 0.560 , 0.200 , 0.240 , 25
11 , 0.520 , 0.280 , 0.200 , 25
12 , 0.560 , 0.320 , 0.120 , 25
13 , 0.000 , 0.188 , 0.812 , 16
14 , 0.533 , 0.333 , 0.133 , 15
15 , 0.238 , 0.476 , 0.286 , 21
16 , 0.600 , 0.300 , 0.100 , 20
17 , 0.200 , 0.280 , 0.520 , 25
18 , 0.625 , 0.250 , 0.125 , 16
19 , 0.280 , 0.480 , 0.240 , 25
20 , 0.360 , 0.400 , 0.240 , 25
21 , 0.480 , 0.440 , 0.080 , 25
22 , 0.600 , 0.240 , 0.160 , 25
23 , 0.312 , 0.688 , 0.000 , 16
24 , 0.476 , 0.524 , 0.000 , 21
25 , 0.520 , 0.160 , 0.320 , 25
26 , 0.316 , 0.368 , 0.316 , 19
27 , 0.320 , 0.320 , 0.360 , 25
28 , 0.440 , 0.400 , 0.160 , 25
29 , 0.467 , 0.133 , 0.400 , 15
30 , 0.529 , 0.294 , 0.176 , 17
31 , 0.636 , 0.182 , 0.182 , 22
32 , 0.368 , 0.368 , 0.263 , 19
33 , 0.440 , 0.360 , 0.200 , 25
34 , 0.550 , 0.350 , 0.100 , 20
35 , 0.200 , 0.360 , 0.440 , 25
36 , 0.480 , 0.280 , 0.240 , 25
37 , 0.600 , 0.200 , 0.200 , 15
38 , 0.440 , 0.240 , 0.320 , 25
39 , 0.611 , 0.222 , 0.167 , 18
40 , 0.560 , 0.280 , 0.160 , 25
41 , 0.471 , 0.176 , 0.353 , 17
42 , 0.640 , 0.320 , 0.040 , 25
43 , 0.478 , 0.304 , 0.217 , 23
44 , 0.520 , 0.200 , 0.280 , 25
45 , 0.520 , 0.120 , 0.360 , 25
