0,0.322,0.2691,0.37835,0.322,0.2691,0.37835
1,0.42,0.36314,0.47841,0.42,0.36314,0.47841
2,0.746,0.69263,0.79458,0.746,0.69263,0.79458
3,0.446,0.38849,0.50456,0.446,0.38849,0.50456
4,0.786,0.73511,0.83131,0.786,0.73511,0.83131
5,0,0,0.010541,0,0,0.010541
6,0,0,0.010541,0,0,0.010541
7,0,0,0.010541,0,0,0.010541
8,0.646,0.58871,0.70046,0.646,0.58871,0.70046
9,0.556,0.49745,0.61347,0.556,0.49745,0.61347
10,0.648,0.59076,0.70237,0.648,0.59076,0.70237
11,0,0,0.010541,0,0,0.010541
12,0.374,0.3187,0.43175,0.374,0.3187,0.43175
13,0.982,0.96044,0.9937,0.982,0.96044,0.9937
14,0.544,0.48543,0.60172,0.544,0.48543,0.60172
15,0.54,0.48143,0.5978,0.54,0.48143,0.5978
16,0.544,0.48543,0.60172,0.544,0.48543,0.60172
17,0.982,0.96044,0.9937,0.982,0.96044,0.9937
18,0.53,0.47144,0.58797,0.53,0.47144,0.58797
19,0.66,0.60308,0.71381,0.66,0.60308,0.71381
20,0.872,0.82893,0.90778,0.872,0.82893,0.90778
21,0,0,0.010541,0,0,0.010541
22,0.34,0.28619,0.39692,0.34,0.28619,0.39692
23,0.766,0.7138,0.81302,0.766,0.7138,0.81302
24,0.472,0.41399,0.53055,0.472,0.41399,0.53055
25,0.968,0.94183,0.98475,0.968,0.94183,0.98475
26,0.648,0.59076,0.70237,0.648,0.59076,0.70237
27,0.372,0.31678,0.42971,0.372,0.31678,0.42971
28,0.336,0.28239,0.3928,0.336,0.28239,0.3928
29,0.244,0.19618,0.2968,0.244,0.19618,0.2968
30,0.372,0.31678,0.42971,0.372,0.31678,0.42971
31,0.486,0.42779,0.54448,0.486,0.42779,0.54448
32,0.686,0.62993,0.73846,0.686,0.62993,0.73846
33,0.246,0.19802,0.29892,0.246,0.19802,0.29892
34,0.404,0.34763,0.46224,0.404,0.34763,0.46224
35,0.818,0.76957,0.86022,0.818,0.76957,0.86022
36,0.298,0.24647,0.35346,0.298,0.24647,0.35346
37,0.276,0.22586,0.33049,0.276,0.22586,0.33049
38,0,0,0.010541,0,0,0.010541
39,0.448,0.39045,0.50656,0.448,0.39045,0.50656
40,0.398,0.34182,0.45616,0.398,0.34182,0.45616
41,0.946,0.91444,0.96869,0.946,0.91444,0.96869
42,0,0,0.010541,0,0,0.010541
43,0.476,0.41793,0.53454,0.476,0.41793,0.53454
44,0.676,0.61958,0.729,0.676,0.61958,0.729
45,0,0,0.010541,0,0,0.010541
