
0,Associated British Foods Plc,Rolls-Royce Holding,Admiral Group Plc,Associated British Foods Plc,Barclays,GKN,Petrofac Ltd,BP,Shire Plc,GKN,British Land,GKN,Morrison Wm Supermarkets,Barclays,BP,Tesco,Barclays,BAE Systems,Severn Trent,International Consolidated Air,Barclays,Bunzl,Polymetal International,easyJet Plc,GlaxoSmithKline,Fresnillo Plc
1,Next,British American Tobacco Plc,Aviva Plc,Next,British American Tobacco Plc,British American Tobacco Plc,Royal Dutch Shell-A Shs,Next,Associated British Foods Plc,British American Tobacco Plc,Aviva Plc,CRH,Royal Dutch Shell-A Shs,Royal Dutch Shell-A Shs,Anglo American Plc,British American Tobacco Plc,Aviva Plc,Tesco,Next,William Hill,Aberdeen Asset Management Plc,Coca-Cola HBC,Associated British Foods Plc,Smiths Group Plc,BAE Systems,Wolseley,BHP Billiton Plc,AstraZeneca Plc,Centrica Plc,Aviva Plc,Tesco,British American Tobacco Plc,CRH,Anglo American Plc
2,AMEC Plc,Sage Group Plc,Babcock Intl Group,Croda International,Rolls-Royce Holding,Reed Elsevier Plc,Sage Group Plc,Royal Dutch Shell-B Shs,Rolls-Royce Holding,BAE Systems,Kingfisher,Hargreaves Lansdown Plc,Tate &amp; Lyle,BAE Systems,Centrica Plc,easyJet Plc,AMEC Plc,Hammerson,Polymetal International,Hargreaves Lansdown Plc,Centrica Plc,Next,Admiral Group Plc,Compass Group Plc,ARM Holdings,Experian,Antofagasta,Next,Barclays,Barclays
3,AstraZeneca Plc,Aberdeen Asset Management Plc,Barclays,BAE Systems,International Consolidated Air,Vodafone Group Plc,BAE Systems,Whitbread 'A',International Consolidated Air,Persimmon,Croda International,British Sky Broadcasting Group,Associated British Foods Plc,Vodafone Group Plc,Croda International,Whitbread 'A',Lloyds Banking Group Plc,Associated British Foods Plc,Vodafone Group Plc,Whitbread 'A',Vodafone Group Plc,AstraZeneca Plc
4,Burberry Group,Next,SABMiller Plc,Hargreaves Lansdown Plc,Admiral Group Plc,Croda International,Admiral Group Plc,Carnival Plc,Imperial Tobacco,AstraZeneca Plc,Wolseley,SABMiller Plc,British American Tobacco Plc,Shire Plc,Burberry Group,Associated British Foods Plc,AstraZeneca Plc,WPP Plc,Rio Tinto
5,Glencore,Standard Life Plc,Anglo American Plc,Aberdeen Asset Management Plc,National Grid Plc,RSA Insurance Group Plc,Sports Direct International Pl,Royal Bank of Scotland Group,Barclays,Centrica Plc,easyJet Plc,Meggitt Plc,Rolls-Royce Holding,BP,Aberdeen Asset Management Plc,BAE Systems,Weir Group,BT Group Plc,British Land,Lloyds Banking Group Plc,United Utilities Group,Land Securities Group,Capita,ARM Holdings,RSA Insurance Group Plc,Babcock Intl Group,Legal &amp; General,BP,Marks&amp;Spencer Group,National Grid Plc,Fresnillo Plc,RSA Insurance Group Plc
6,Standard Chartered,Tullow Oil Plc,Babcock Intl Group,Evraz,Schroders Plc,ARM Holdings,Intertek Group,Randgold Resources Ltd,Melrose Industries,InterContinental Hotels Group,Royal Bank of Scotland Group,Evraz,BP,Aviva Plc,Compass Group Plc,Lloyds Banking Group Plc,Croda International,International Consolidated Air,Glencore,Randgold Resources Ltd,Fresnillo Plc,Hargreaves Lansdown Plc,Anglo American Plc,Intertek Group,Whitbread 'A',Antofagasta,GlaxoSmithKline,Associated British Foods Plc,Barclays,International Consolidated Air,BHP Billiton Plc,Reckitt Benckiser Group,SABMiller Plc,Randgold Resources Ltd,Unilever,Rio Tinto,Antofagasta,Croda International,Marks&amp;Spencer Group,International Consolidated Air,Sports Direct International Pl,Fresnillo Plc,Antofagasta,Lloyds Banking Group Plc,Persimmon,Mondi Plc,Land Securities Group,ARM Holdings,Randgold Resources Ltd,IMI,Glencore,Meggitt Plc,Shire Plc,British Land
7,RSA Insurance Group Plc,Fresnillo Plc,Old Mutual,William Hill,Tullow Oil Plc,Centrica Plc,Babcock Intl Group,Wolseley,Old Mutual,Carnival Plc,Anglo American Plc,RSA Insurance Group Plc,Marks&amp;Spencer Group,Glencore,Weir Group,Tate &amp; Lyle,Burberry Group,Unilever,Imperial Tobacco,Persimmon,Centrica Plc,Morrison Wm Supermarkets,Aggreko,G4S Plc,Associated British Foods Plc,Intertek Group,Johnson Matthey,easyJet Plc,Vedanta Resources Plc,Wolseley,Rio Tinto,SABMiller Plc,Standard Chartered,Pearson,Unilever,Next,Johnson Matthey,Associated British Foods Plc,Wolseley,Croda International,SABMiller Plc,London Stock Exchange Group
8,Kingfisher,Centrica Plc,Rolls-Royce Holding,BG Group Plc,Evraz,Rio Tinto,GlaxoSmithKline,British Sky Broadcasting Group,ARM Holdings,BP,InterContinental Hotels Group,Bunzl,Johnson Matthey,Croda International,ARM Holdings,BHP Billiton Plc,Vedanta Resources Plc,Whitbread 'A',HSBC Holdings Plc,Hammerson,British Land,BT Group Plc,Tullow Oil Plc,Glencore,Aberdeen Asset Management Plc,Wood Group (John),SSE,Severn Trent,Fresnillo Plc,Vodafone Group Plc,Hammerson,BAE Systems,Tesco,Persimmon,Capita,Prudential,Capita
9,Johnson Matthey,Kingfisher,Randgold Resources Ltd,United Utilities Group,Tullow Oil Plc,AMEC Plc,Aggreko,Tullow Oil Plc,Lloyds Banking Group Plc,GlaxoSmithKline,Aviva Plc,Reed Elsevier Plc,Carnival Plc,Royal Bank of Scotland Group,G4S Plc,Glencore,British Land,Aberdeen Asset Management Plc
10,GKN,Smith &amp; Nephew,International Consolidated Air,Smith &amp; Nephew,Barclays,Aviva Plc,Polymetal International,International Consolidated Air,Fresnillo Plc,Hargreaves Lansdown Plc,Fresnillo Plc,Hargreaves Lansdown Plc,TUI Travel Plc,Evraz,Vodafone Group Plc,Glencore,Sage Group Plc,International Consolidated Air,AMEC Plc,Barclays,Sage Group Plc,Sage Group Plc,Glencore,International Consolidated Air,Barclays,Melrose Industries,Antofagasta,Aberdeen Asset Management Plc,Aberdeen Asset Management Plc,Sage Group Plc,G4S Plc,Glencore,Aberdeen Asset Management Plc,Aberdeen Asset Management Plc,Sage Group Plc,Glencore,Friends Life Group,Sage Group Plc,Friends Life Group,Standard Life Plc,Aberdeen Asset Management Plc,Glencore,Aberdeen Asset Management Plc,Glencore,Fresnillo Plc,Glencore,Rexam Plc,BP,Sage Group Plc,Meggitt Plc,Aberdeen Asset Management Plc,Barclays,Aberdeen Asset Management Plc,Meggitt Plc,Standard Life Plc,William Hill,Tate &amp; Lyle,Glencore,William Hill,Fresnillo Plc,International Consolidated Air,Tate &amp; Lyle,GKN,Tullow Oil Plc,Melrose Industries,Fresnillo Plc,Antofagasta,Friends Life Group,Antofagasta,William Hill,RSA Insurance Group Plc,Antofagasta,Sainsbury (J.)
11,Carnival Plc,Burberry Group,Barclays,Next,ITV Plc,Associated British Foods Plc,Babcock Intl Group,easyJet Plc,Land Securities Group,Standard Chartered,Experian,Next,SABMiller Plc,Diageo Plc,British Sky Broadcasting Group,BT Group Plc,WPP Plc,Whitbread 'A',Weir Group,WPP Plc,Travis Perkins Plc,Prudential,HSBC Holdings Plc,Sports Direct International Pl,William Hill,BG Group Plc,InterContinental Hotels Group,SABMiller Plc,Tate &amp; Lyle,Reckitt Benckiser Group,British American Tobacco Plc,Royal Dutch Shell-A Shs,BP
12,RSA Insurance Group Plc,Royal Bank of Scotland Group,Admiral Group Plc,William Hill,ITV Plc,Vodafone Group Plc,Barclays,RSA Insurance Group Plc,BT Group Plc,ARM Holdings,Vodafone Group Plc,Marks&amp;Spencer Group,ARM Holdings,Kingfisher,Aviva Plc,Tullow Oil Plc,ITV Plc,Centrica Plc,Rolls-Royce Holding,International Consolidated Air,Centrica Plc,Sage Group Plc,Vedanta Resources Plc,Petrofac Ltd,Intertek Group,Petrofac Ltd,Babcock Intl Group,Glencore,Kingfisher,Smiths Group Plc,Vedanta Resources Plc,Sports Direct International Pl,Rolls-Royce Holding,BT Group Plc,Glencore,Randgold Resources Ltd,Rio Tinto,Intertek Group,Standard Chartered,Intertek Group,Severn Trent,British Sky Broadcasting Group,Rio Tinto,Standard Chartered,Fresnillo Plc,Vodafone Group Plc,Morrison Wm Supermarkets,Hargreaves Lansdown Plc,Petrofac Ltd,Rolls-Royce Holding,Marks&amp;Spencer Group,Schroders Plc,SSE,Intertek Group
13,Barclays,Royal Bank of Scotland Group,Royal Bank of Scotland Group,Lloyds Banking Group Plc,Barclays,HSBC Holdings Plc,Barclays,Lloyds Banking Group Plc,HSBC Holdings Plc,HSBC Holdings Plc,Lloyds Banking Group Plc,Barclays,Royal Bank of Scotland Group,Barclays,Lloyds Banking Group Plc,HSBC Holdings Plc
14,International Consolidated Air,Hargreaves Lansdown Plc,Babcock Intl Group,International Consolidated Air,IMI,Bunzl,Royal Dutch Shell-B Shs,Aviva Plc,GKN,ITV Plc,Antofagasta,Bunzl,Legal &amp; General,Next,AstraZeneca Plc
15,WPP Plc,HSBC Holdings Plc,Intertek Group,Unilever,WPP Plc,Hargreaves Lansdown Plc,Unilever,Wolseley,Admiral Group Plc,Barclays,Anglo American Plc,BHP Billiton Plc,Vodafone Group Plc,Associated British Foods Plc,William Hill,BAE Systems,ARM Holdings,Coca-Cola HBC,British American Tobacco Plc,Antofagasta,G4S Plc
16,InterContinental Hotels Group,Centrica Plc,British Sky Broadcasting Group,ARM Holdings,Aberdeen Asset Management Plc,Kingfisher,Compass Group Plc,Land Securities Group,easyJet Plc,International Consolidated Air,British Sky Broadcasting Group,Fresnillo Plc,Sainsbury (J.),ITV Plc,Marks&amp;Spencer Group,Anglo American Plc,Glencore,Morrison Wm Supermarkets,G4S Plc,ARM Holdings
17,Royal Bank of Scotland Group,Aberdeen Asset Management Plc,Anglo American Plc,Rio Tinto,Randgold Resources Ltd,Royal Bank of Scotland Group,Randgold Resources Ltd,HSBC Holdings Plc,Rio Tinto,Aberdeen Asset Management Plc,Lloyds Banking Group Plc,Barclays,Randgold Resources Ltd,Aberdeen Asset Management Plc,Royal Bank of Scotland Group,Lloyds Banking Group Plc,Rio Tinto,HSBC Holdings Plc,Randgold Resources Ltd,Lloyds Banking Group Plc,Barclays,Royal Bank of Scotland Group,Rio Tinto,Randgold Resources Ltd,Rio Tinto,Barclays,Royal Bank of Scotland Group
18,Smith &amp; Nephew,G4S Plc,Fresnillo Plc,Royal Bank of Scotland Group,Next,Royal Dutch Shell-B Shs,Rolls-Royce Holding,Imperial Tobacco,G4S Plc,Next,Rolls-Royce Holding,Royal Dutch Shell-B Shs,Fresnillo Plc,Smith &amp; Nephew,Imperial Tobacco,Royal Bank of Scotland Group
