0, 0.333, 9.468
1, 0.333, 9.420
2, 0.333, 9.388
3, 0.333, 10.006
4, 0.334, 10.835
5, 0.334, 9.406
6, 0.333, 9.420
7, 0.334, 9.421
8, 0.333, 9.406
9, 0.333, 11.116
10, 0.334, 9.423
11, 0.333, 9.420
12, 0.333, 9.475
13, 0.333, 11.771
14, 0.334, 12.169
15, 0.333, 10.265
16, 0.333, 10.522
17, 0.333, 9.393
18, 0.333, 11.751
19, 0.333, 9.446
20, 0.333, 9.408
21, 0.333, 9.418
22, 0.333, 9.444
23, 0.334, 11.800
24, 0.333, 10.247
25, 0.333, 9.422
26, 0.333, 10.824
27, 0.333, 9.415
28, 0.333, 9.458
29, 0.334, 12.187
30, 0.333, 11.383
31, 0.333, 10.045
32, 0.333, 10.856
33, 0.333, 9.407
34, 0.333, 10.575
35, 0.333, 9.373
36, 0.333, 9.410
37, 0.333, 12.184
38, 0.333, 9.421
39, 0.334, 11.055
40, 0.333, 9.450
41, 0.333, 11.472
42, 0.334, 9.443
43, 0.333, 9.858
44, 0.333, 9.458
45, 0.333, 9.427
