0,0.08,0.0,0.0,0.12,0.2,0.12,0.08,0.08,0.16,0.16,25.0
1,0.0,0.04,0.16,0.0,0.08,0.04,0.2,0.12,0.32,0.04,25.0
2,0.12,0.16,0.16,0.2,0.04,0.12,0.04,0.12,0.04,0.0,25.0
3,0.0,0.091,0.0,0.136,0.136,0.091,0.045,0.136,0.0,0.364,22.0
4,0.105,0.105,0.053,0.0,0.053,0.211,0.053,0.053,0.211,0.158,19.0
5,0.04,0.08,0.08,0.08,0.12,0.08,0.2,0.12,0.04,0.16,25.0
6,0.04,0.2,0.24,0.08,0.08,0.0,0.0,0.16,0.04,0.16,25.0
7,0.04,0.0,0.16,0.08,0.28,0.2,0.08,0.08,0.0,0.08,25.0
8,0.04,0.12,0.04,0.16,0.12,0.04,0.08,0.12,0.12,0.16,25.0
9,0.056,0.111,0.167,0.111,0.111,0.111,0.056,0.111,0.056,0.111,18.0
10,0.12,0.12,0.12,0.16,0.04,0.0,0.0,0.2,0.0,0.24,25.0
11,0.0,0.0,0.2,0.04,0.12,0.16,0.12,0.12,0.12,0.12,25.0
12,0.08,0.04,0.0,0.12,0.2,0.12,0.08,0.24,0.0,0.12,25.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.0,0.813,16.0
14,0.2,0.067,0.133,0.0,0.067,0.133,0.0,0.267,0.067,0.067,15.0
15,0.095,0.095,0.0,0.0,0.048,0.095,0.143,0.238,0.048,0.238,21.0
16,0.05,0.0,0.1,0.1,0.2,0.2,0.1,0.15,0.0,0.1,20.0
17,0.0,0.0,0.2,0.0,0.0,0.0,0.12,0.16,0.0,0.52,25.0
18,0.125,0.0,0.25,0.125,0.0,0.125,0.0,0.25,0.125,0.0,16.0
19,0.04,0.0,0.0,0.16,0.08,0.24,0.12,0.12,0.04,0.2,25.0
20,0.04,0.0,0.0,0.04,0.16,0.24,0.16,0.12,0.0,0.24,25.0
21,0.0,0.08,0.24,0.04,0.08,0.12,0.12,0.24,0.0,0.08,25.0
22,0.0,0.08,0.2,0.12,0.08,0.12,0.2,0.04,0.04,0.12,25.0
23,0.0,0.0,0.0,0.0,0.188,0.188,0.313,0.188,0.125,0.0,16.0
24,0.19,0.0,0.143,0.095,0.0,0.048,0.19,0.333,0.0,0.0,21.0
25,0.08,0.12,0.04,0.04,0.16,0.16,0.08,0.0,0.24,0.08,25.0
26,0.0,0.158,0.0,0.053,0.105,0.158,0.053,0.158,0.0,0.316,19.0
27,0.08,0.04,0.04,0.08,0.08,0.0,0.04,0.24,0.16,0.24,25.0
28,0.04,0.08,0.04,0.08,0.16,0.16,0.16,0.08,0.04,0.16,25.0
29,0.067,0.0,0.0,0.0,0.2,0.2,0.133,0.0,0.0,0.4,15.0
30,0.059,0.118,0.235,0.0,0.0,0.118,0.235,0.059,0.118,0.059,17.0
31,0.091,0.045,0.318,0.045,0.136,0.045,0.091,0.045,0.0,0.182,22.0
32,0.0,0.053,0.053,0.105,0.158,0.0,0.105,0.263,0.105,0.158,19.0
33,0.04,0.12,0.04,0.08,0.04,0.2,0.16,0.12,0.08,0.12,25.0
34,0.1,0.15,0.15,0.05,0.1,0.1,0.25,0.0,0.05,0.05,20.0
35,0.04,0.04,0.04,0.0,0.04,0.12,0.12,0.16,0.08,0.36,25.0
36,0.04,0.04,0.12,0.04,0.16,0.16,0.16,0.04,0.04,0.2,25.0
37,0.067,0.133,0.0,0.0,0.2,0.2,0.133,0.067,0.067,0.133,15.0
38,0.04,0.12,0.12,0.08,0.04,0.04,0.12,0.12,0.12,0.2,25.0
39,0.167,0.0,0.222,0.0,0.111,0.111,0.111,0.111,0.0,0.167,18.0
40,0.04,0.0,0.16,0.08,0.24,0.12,0.12,0.08,0.0,0.16,25.0
41,0.0,0.0,0.059,0.118,0.235,0.118,0.059,0.059,0.118,0.235,17.0
42,0.04,0.16,0.12,0.16,0.08,0.08,0.08,0.2,0.04,0.04,25.0
43,0.0,0.174,0.087,0.043,0.043,0.174,0.174,0.087,0.0,0.217,23.0
44,0.08,0.04,0.16,0.08,0.0,0.2,0.16,0.0,0.16,0.12,25.0
45,0.12,0.12,0.12,0.0,0.12,0.04,0.08,0.04,0.08,0.28,25.0
