0 ,  ,  ,  , 28.5639195054 , 0.333333333333 , 26
0 , 1 , 20 , 0.999 , 4.89443292807 , 0.383692307692 , 26
0 , 1 , 25 , 0.999 , 4.45637673 , 0.385884615385 , 26
1 ,  ,  ,  , 37.3528178147 , 0.333333333333 , 34
1 , 1 , 20 , 0.999 , 9.55903599748 , 0.373617647059 , 34
1 , 1 , 25 , 0.999 , 9.35558807498 , 0.373 , 34
2 ,  ,  ,  , 32.95836866 , 0.333333333333 , 30
2 , 1 , 20 , 0.999 , 5.40867017315 , 0.4665 , 30
2 , 1 , 25 , 0.999 , 4.83046014468 , 0.470066666667 , 30
3 ,  ,  ,  , 24.1694703507 , 0.333333333333 , 22
3 , 1 , 20 , 0.999 , 5.09834453958 , 0.192727272727 , 22
3 , 1 , 25 , 0.999 , 4.79736021379 , 0.185454545455 , 22
4 ,  ,  ,  , 20.8736334847 , 0.333333333333 , 19
4 , 1 , 20 , 0.999 , 12.7593201465 , 0.223631578947 , 19
4 , 1 , 25 , 0.999 , 12.5996516699 , 0.228473684211 , 19
5 ,  ,  ,  , 35.1555932374 , 0.333333333333 , 32
5 , 1 , 20 , 0.999 , 5.7878607225 , 0.27959375 , 32
5 , 1 , 25 , 0.999 , 4.85829305419 , 0.27871875 , 32
6 ,  ,  ,  , 59.3250635881 , 0.333333333333 , 54
6 , 1 , 20 , 0.999 , 11.6600031954 , 0.316481481481 , 54
6 , 1 , 25 , 0.999 , 9.43453286371 , 0.318555555556 , 54
7 ,  ,  ,  , 46.1417161241 , 0.333333333333 , 42
7 , 1 , 20 , 0.999 , 13.2338514029 , 0.265261904762 , 42
7 , 1 , 25 , 0.999 , 12.0942046522 , 0.261571428571 , 42
8 ,  ,  ,  , 40.6486546807 , 0.333333333333 , 37
8 , 1 , 20 , 0.999 , 1.77687214488 , 0.303810810811 , 37
8 , 1 , 25 , 0.999 , 1.43883732505 , 0.305297297297 , 37
9 ,  ,  ,  , 19.775021196 , 0.333333333333 , 18
9 , 1 , 20 , 0.999 , 2.6764255636 , 0.568388888889 , 18
9 , 1 , 25 , 0.999 , 2.02865322348 , 0.570444444444 , 18
10 ,  ,  ,  , 80.1986970728 , 0.333333333333 , 73
10 , 1 , 20 , 0.999 , -1417.291 , 0.324082191781 , 73
10 , 1 , 25 , 0.999 , -1418.0 , 0.314547945205 , 73
11 ,  ,  ,  , 36.254205526 , 0.333333333333 , 33
11 , 1 , 20 , 0.999 , 5.8835243189 , 0.32596969697 , 33
11 , 1 , 25 , 0.999 , 5.34023370655 , 0.323242424242 , 33
12 ,  ,  ,  , 59.3250635881 , 0.333333333333 , 54
12 , 1 , 20 , 0.999 , 5.05378027093 , 0.426814814815 , 54
12 , 1 , 25 , 0.999 , 4.51993216463 , 0.428666666667 , 54
13 ,  ,  ,  , 17.5777966187 , 0.333333333333 , 16
13 , 1 , 20 , 0.999 , 1.73421036047 , 0.6975625 , 16
13 , 1 , 25 , 0.999 , 1.52799897541 , 0.7015 , 16
14 ,  ,  ,  , 16.47918433 , 0.333333333333 , 15
14 , 1 , 20 , 0.999 , 3.49623904756 , 0.2912 , 15
14 , 1 , 25 , 0.999 , 3.09548961967 , 0.295933333333 , 15
15 ,  ,  ,  , 23.070858062 , 0.333333333333 , 21
15 , 1 , 20 , 0.999 , 16.6696314161 , 0.321047619048 , 21
15 , 1 , 25 , 0.999 , 16.3976577828 , 0.312571428571 , 21
16 ,  ,  ,  , 21.9722457734 , 0.333333333333 , 20
16 , 1 , 20 , 0.999 , 6.46895816532 , 0.3361 , 20
16 , 1 , 25 , 0.999 , 6.02930384027 , 0.3339 , 20
17 ,  ,  ,  , 29.662531794 , 0.333333333333 , 27
17 , 1 , 20 , 0.999 , 1.1104974054 , 0.345703703704 , 27
